            Xorg-12396 [000] .... 19948.935848: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935849: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935850: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19948.935855: sys_enter: NR 47 (4, 7ffdfcc4c240, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818b2004)
         firefox-17168 [000] .... 19948.935857: sys_enter: NR 47 (4, 7ffdfcc4c3c0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935857: sys_enter: NR 47 (4, 7ffdfcc4c3c0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935876: sys_enter: NR 7 (7ffdfcc4c240, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19948.935877: sys_enter: NR 20 (4, 7ffdfcc4c3b0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935880: sys_enter: NR 7 (7ffdfcc4c260, 1, ffffffff, 4, 0, 440)
            Xorg-12396 [000] .... 19948.935888: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
         firefox-17168 [000] .... 19948.937974: sys_enter: NR 20 (4, 7ffdfcc4c760, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.937976: sys_enter: NR 7 (7ffdfcc4c610, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818b2004)
            Xorg-12396 [000] .... 19948.937985: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19948.937986: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19948.937988: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19948.937989: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.937989: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.937991: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19948.937996: sys_enter: NR 47 (4, 7ffdfcc4c530, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818b2004)
         firefox-17168 [000] .... 19948.937998: sys_enter: NR 47 (4, 7ffdfcc4c6b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.937999: sys_enter: NR 47 (4, 7ffdfcc4c6b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.938001: sys_enter: NR 7 (7ffdfcc4c610, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19948.938001: sys_enter: NR 20 (4, 7ffdfcc4c780, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.938003: sys_enter: NR 7 (7ffdfcc4c630, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818b2004)
            Xorg-12396 [000] .... 19948.938008: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19948.938008: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19948.938013: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19948.938014: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.938015: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.938016: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19948.938021: sys_enter: NR 47 (4, 7ffdfcc4c550, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818b2004)
         firefox-17168 [000] .... 19948.938023: sys_enter: NR 47 (4, 7ffdfcc4c6d0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.938024: sys_enter: NR 47 (4, 7ffdfcc4c6d0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.938031: sys_enter: NR 7 (7ffdfcc4c600, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19948.938032: sys_enter: NR 20 (4, 7ffdfcc4c770, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.938034: sys_enter: NR 7 (7ffdfcc4c620, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818b2004)
            Xorg-12396 [000] .... 19948.938043: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19948.938044: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
